feature,importance
ORGANIZATION_TYPE_Industry: type 7,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 9,19.200000000000003
ORGANIZATION_TYPE_Insurance,1.2000000000000002
ORGANIZATION_TYPE_Kindergarten,6.6000000000000005
ORGANIZATION_TYPE_Legal Services,1.2
ORGANIZATION_TYPE_Medicine,6.4
ORGANIZATION_TYPE_Military,18.2
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Other,5.000000000000001
ORGANIZATION_TYPE_Police,8.6
ORGANIZATION_TYPE_Postal,2.0
ORGANIZATION_TYPE_Realtor,12.6
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Restaurant,3.0
ORGANIZATION_TYPE_School,13.4
ORGANIZATION_TYPE_Security,1.5999999999999999
ORGANIZATION_TYPE_Security Ministries,11.0
ORGANIZATION_TYPE_Self-employed,21.599999999999998
ORGANIZATION_TYPE_Services,2.4000000000000004
ORGANIZATION_TYPE_Telecom,1.6
ORGANIZATION_TYPE_Trade: type 1,0.2
ORGANIZATION_TYPE_Trade: type 2,9.4
ORGANIZATION_TYPE_Trade: type 3,2.4
ORGANIZATION_TYPE_Trade: type 4,1.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Trade: type 6,2.2
ORGANIZATION_TYPE_Trade: type 7,1.6
ORGANIZATION_TYPE_Transport: type 1,0.6000000000000001
ORGANIZATION_TYPE_Transport: type 2,2.0
ORGANIZATION_TYPE_Transport: type 3,17.799999999999997
ORGANIZATION_TYPE_Transport: type 4,3.4
ORGANIZATION_TYPE_University,3.0
ORGANIZATION_TYPE_XNA,0.0
FONDKAPREMONT_MODE_not specified,4.0
FONDKAPREMONT_MODE_org spec account,3.0
FONDKAPREMONT_MODE_reg oper account,1.8
FONDKAPREMONT_MODE_reg oper spec account,4.8
HOUSETYPE_MODE_block of flats,0.2
HOUSETYPE_MODE_specific housing,1.2000000000000002
HOUSETYPE_MODE_terraced house,0.4
WALLSMATERIAL_MODE_Block,2.2
WALLSMATERIAL_MODE_Mixed,0.6000000000000001
WALLSMATERIAL_MODE_Monolithic,0.2
WALLSMATERIAL_MODE_Others,0.8
WALLSMATERIAL_MODE_Panel,8.0
"WALLSMATERIAL_MODE_Stone, brick",12.4
WALLSMATERIAL_MODE_Wooden,1.2
EMERGENCYSTATE_MODE_No,1.6
EMERGENCYSTATE_MODE_Yes,0.6000000000000001
